restaurant_name,name,description,address,url,img_1,img_2,img_3,img_4,img_5,種類_中,種類_日,種類_法,種類_泰,種類_美,種類_西,種類_韓,類型_咖啡,類型_地方,類型_小吃,類型_居酒,類型_火鍋,類型_甜點,類型_聚餐,類型_茶館,類型_酒吧,類型_餐酒,氛圍_安靜,氛圍_家庭,氛圍_時尚,氛圍_浪漫,氛圍_熱鬧,氛圍_約會,氛圍_聚餐,氛圍_舒適
頁小館,page,餐廳內放滿了吉他、唱片和各種音樂紀念品，客人更可在精挑細選的樂韻襯托下，欣賞廚師團隊在開放式廚房裡忙碌的身影。主廚擅於將破布子、桶仔雞等亞洲元素，糅合經典西式菜餚。黑白切更是這裡的招牌菜，把家喻戶曉的臺灣攤販小吃，以西式香料重新詮釋。酒單上除了葡萄酒，也有多種日本清酒和手工啤酒。,"中山區北安路595巷20弄4號, Taipei, 104, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/page,227f9c1d707d4bf9b40239942a1c01c9.jpeg,f23dbe0b2e8340c3a4593727d89207b3.jpeg,c7c0a9756fe04bd79fb06e4439081930.jpeg,67837bf84e3b4bb7a3a5fb1747abe474.jpeg,89388bb327fb428e8a2cd36966735554.jpeg,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
源芳刈包,yuan-fang-guabao,經營逾一甲子，刈包皮為店家特製，搭配軟嫩多汁的滷五花肉和配料，令人回味再三。四神湯也濃郁鮮美。,"萬華區華西街17之2號161號攤 (華西街夜市), Taipei, 108, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/yuan-fang-guabao,57ab0defed67482dbdcd9e3558ba57c1.jpeg,35c8af968ca74a838ff32cbb82f282cf.jpeg,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
好蟳屋,good-crab-house,餐廳開業三十餘年，老闆兼主廚出生於澎湖，每天兩次從其家鄉空運食材到店。店家以處女蟳菜色聞名，推薦以鹽焗方式烹調，其蟹黃飽滿，香甜味美。多道澎湖道地菜餚亦具水準：黑糖小章魚帶有黑糖香氣且鮮嫩非常；鹽酥魚尾則鹹香酥化，叫人想一試再試。以澎湖特產冷泡而成的風茹茶別具特色，不妨點選佐餐。,"三民區建工路696號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/good-crab-house,e2b6b7eb66304d82987ca346bc321ce6.jpeg,d9c5ce6df4694e22a6018a2431ac4991.jpeg,de5beca9f9bb427f80ba1e7d99aa972f.jpeg,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
木公麥面,mu-gong-noodles,店名由「松麵」分拆而來，以紀念店主岳父阿松師的江浙麵館。木製匾額高掛大門上，加上核桃木窗框、書法字體菜單、帶囍字的瓷碗，以及擺放於牆上的古書，充滿雅致氣氛。食物方面，帶彈性的麵條搭配香醇湯頭，特別推薦榨菜肉絲麵和排骨麵，建議點選口味細膩的滷菜，完整體驗傳統古早滋味。,"東區富貴街37號, Taichung, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/mu-gong-noodles,892b788d94de43708f072687d700adbb.jpeg,def65985841744f28616e819cd6931e9.jpeg,5b437341e7fb47cea4212df1f20e7325.jpeg,9166edcfc1664361936c7c497c1cdb2e.jpg,9f9d6619fed5463f9624e40cf35e6735.jpeg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
冬瓜與胖子,white-gourd-and-fat-person,位於老民宅內，用餐室以復古電視機、暗色沙發椅、大理石地磚等佈置。提供無菜單臺式家庭菜餚，調味較濃郁。店家會依據當天採買的食材及用餐人數供餐，並按人頭收費；兩人以上可品嘗到四至五道小菜與湯品，單人用餐者則可一嚐以滷肉為主菜的套餐。若有特別需求，店家亦樂於安排。不定休，且僅接受社群平台訂位。,"前鎮區英德街784巷12號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/white-gourd-and-fat-person,f0e3e192282d4ef88cc459e877fde96e.jpeg,88e473898092430c81c707cd1c9fdb14.jpeg,,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
元一,motoichi,餐廳主打精緻而正宗的天婦羅料理，採用優質時令食材，配合日本傳統技巧，使天婦羅的外層金黃酥脆，呈現上佳的風味和口感。菜單為無菜單料理形式，每一道天婦羅的配菜皆經廚師精心搭配。用餐環境優雅寧靜，設有兩個房間，各設八個座位，讓客人近距離欣賞猶如藝術饗宴的烹調過程。,"大安區忠孝東路四段216巷27弄11號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/motoichi,3135fed558ee470cb17e8758762ed72e.jpeg,2ca26e08f64944bfb9cf260f5da9b074.jpeg,d58d782dfa224c3ca1b2aa9433857597.jpeg,2ccc2f3172634189b0b58ea41faf69f7.jpeg,bd09490ae35b4c6ba36945c94f5d1ea5.jpeg,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
施家鮮肉湯圓,shih-chia-big-rice-ball,創立於1960年代，全年供應苗栗客家風味的鹹湯圓。第二代店主依循其母親的食譜，選用一年以上的舊圓糯米，製作軟糯可口的糯米皮，並包入飽滿的黑豬肉和爽脆蔬菜，一口咬下肉汁隨之流出。湯頭帶有冬菜與柴魚香氣，滋味無窮。店內除了客家美食，還有各類閩南與地方小吃，選擇多元豐富。,"大同區延平北路三段58號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/shih-chia-big-rice-ball,882765a6b1ee4fe4858f95d46708ebaf.jpeg,d85d1d4de05d498e98b16db4b6e121f5.jpeg,95e61725dfe34fc2bdfb8060d77159bd.jpeg,9518a5bd5bbe4cee953964eb9a5aa99c.jpeg,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
磐石坊,sate-house,由印尼華橋創立，曾多次受印尼政府邀請，在此款待外賓，足證其水準。店內陳設著各式各樣的印尼藝術品，如帆船、佛塔、木雕和油畫等，充滿傳統氣息。供應印尼各地的經典菜色，招牌菜為巴東牛肉、串燒和蜂巢爪哇炸雞。若想品嚐更地道的美食，不妨試試富豆香的納豆餅。餐廳亦提供節慶用的祈福飯塔，有需要可提前預訂。,"大安區樂利路15號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/sate-house,82e19e83facb4f148b27718f1e473871.jpeg,f087112f128640ffa31cebe9dd421a97.jpeg,18ff746d7f9b4634972bed03fe7881b1.jpeg,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
渥達尼斯磨坊,molino-de-urdaniz,店面內鬥牛士和佛朗明哥舞者的畫作，盡顯西班牙的熱情風格。由兩位在本店受訓的主廚共同領軍，選取來自臺灣和日本的食材，融合西班牙料理及亞洲飲食文化，為賓客帶來豐富多樣、以海鮮為主軸的嚐味菜單。每道菜色的呈現皆猶如畫作，無論色彩或食材的運用，都遵循季節循環之變化，風味細緻，獨樹一格。,"中山區建國北路一段61號 (慕舍酒店), Taipei, 10491, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/molino-de-urdaniz,6531c4fa28564572998a2b4c0b2ee082.jpeg,ae92fb93f5e5403a8c1088699c35ecbc.jpeg,5b3ab58803e446c3817d96407ffbe044.jpeg,eaf5139ba21c415c96ad92837d99ebf5.jpeg,e317dfb810f6434fbbdcfdebd96b9bc3.jpeg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
黑琵食堂,black-faced-spoonbill-canteen,餐廳位於黑面琵鷺保護區內，擁有絕佳的觀鳥位置。經營者養殖虱目魚超過三十年，對食材非常講究，取用自家魚塭或是低密度養殖的在地海產，其中推薦飽滿鮮甜的文蛤，以及肉質緊緻的虱目魚。鹹香可口的金沙軟絲，也值得一試。餐點價格實惠，適合與親友同訪，假日前往建議提前訂位。,"七股區十份里海埔17之18號, Tainan, 724, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/black-faced-spoonbill-canteen,a9a068724dc7494da88708fbeacae4d2.jpeg,730412588f62437ba5ee62f795ffaf42.jpeg,3df52abd325e40f091a8db4aa6bb7992.jpeg,,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
